grower,block_name,planting_year,block_code,light_fruit,spacing_x,spacing_y,offset,tree_yield_2014,tree_yield_2015
Cherry Hill,North Farm West,1992,CH01,Y,14,17,0,172,115
Cherry Hill,North Farm West,2003,CH02,Y,14,19,7,172,115
Cherry Hill,North Farm West,2007,CH03,Y,14,17,7,172,115
Cherry Hill,North Farm West,1992,CH04,,14,18,,138,85
Cherry Hill,North Farm East,1984,CH05,,14,18,,115,67
Cherry Hill,XL - Alfalfa,2000,CH06,,14,18,,182,141
Cherry Hill,Clarks,1984,CH07,,14,18,,156,53
Cherry Hill,Genola,2003,CH08,,14,18,,199,114
South Shore,6,2008,SS01,Y,15,18,6,,
South Shore,23,1994,SS04,Y,13,16,,,
South Shore,24,1994,SS05,,12,18,,,
South Shore,17,2003,SS06,,13,18,,,
South Shore,14,2006,SS09,Y,13,19,6.5,,
South Shore,48,,SS10,,10,17,,,
South Shore,57,,SS12,,15,17,,,
Allreds,Mitchel,2001,AR01,Y,13,18,7,185,100
Allreds,West Beesley,2008,AR02,,14,17,0,122,124
Allreds,LeBaron,2008,AR03,Y,14,17,7,49,78
Allreds,Metcalf,2001,AR04,,15,17,0,155,165
Allreds,Beesley,2003,AR05,,14,17,2,122,124
Allreds,Bowen South,1993,AR06,Y,12,18,6,80,88
Allreds,East Cherry,1994,AR07,,12,20,6,123,98
Allreds,East Pond,1992,AR08,,12,20,6,61,63
South Ridge,56 Acres,2007,SR01,Y,12,18,0,84,58
South Ridge,56 Acres,2003,SR02,Y,14,18,0,84,58
South Ridge,Beardall,1995,SR04,Y,12,18,0,121,50
South Ridge,Smiths,1999,SR05,,13,22,0,125,81
South Ridge,Kays,1994,SR06,,14,16,0,71,55
South Ridge,Behind the House,1995,SR07,,15,19,0,110,56
South Ridge,The Gap,1985,SR03,,14,17,0,8,0
Orchard View,Grandpa,2001,OV01,,14,19,0,199,166
Orchard View,Mikes,2001,OV02,Y,15,19,0,118,119
Orchard View,Corner,2005,OV03,,16,17,0,200,174
Orchard View,Grandpa,2007,OV04,Y,16,18,0,199,166
Orchard View,Devon,2002,OV05,,17,18,0,183,169
Orchard View,Jeff,1993,OV06,Y,16,19,0,157,166
Orchard View,Rick,1994,OV07,,15,18,0,152,140
Orchard View,Jake,1996,OV08,,17,19,0,153,157
