Block,Tree,Direction,Distance_cm,Height_cm
OV08,1,NE,179,181
OV08,1,NE,279,355
OV08,1,NE,152,511
OV08,1,SE,218,183
OV08,1,SE,178,333
OV08,1,SE,116,455
OV08,1,SW,175,156
OV08,1,SW,248,313
OV08,1,SW,217,419
OV08,1,NW,145,175
OV08,1,NW,225,318
OV08,1,NW,136,468
OV08,1,0,0,169
OV08,1,0,0,455
OV08,2,NE,223,178
OV08,2,NE,273,344
OV08,2,NE,168,462
OV08,2,SE,170,120
OV08,2,SE,189,345
OV08,2,SE,124,519
OV08,2,SW,154,163
OV08,2,SW,192,344
OV08,2,SW,144,438
OV08,2,NW,118,158
OV08,2,NW,206,279
OV08,2,NW,124,391
OV08,2,0,0,175
OV08,2,0,0,467
OV08,3,NE,194,204
OV08,3,NE,267,406
OV08,3,NE,188,520
OV08,3,SE,174,178
OV08,3,SE,240,378
OV08,3,SE,126,487
OV08,3,SW,239,165
OV08,3,SW,282,375
OV08,3,SW,214,482
OV08,3,NW,176,223
OV08,3,NW,251,429
OV08,3,NW,163,547
OV08,3,0,0,172
OV08,3,0,0,508
OV08,4,NE,178,158
OV08,4,NE,286,362
OV08,4,NE,170,501
OV08,4,SE,140,157
OV08,4,SE,184,342
OV08,4,SE,151,473
OV08,4,SW,130,155
OV08,4,SW,191,349
OV08,4,SW,120,467
OV08,4,NW,130,198
OV08,4,NW,232,280
OV08,4,NW,196,408
OV08,4,0,0,158
OV08,4,0,0,451
OV08,5,NE,149,179
OV08,5,NE,299,361
OV08,5,NE,195,478
OV08,5,SE,164,152
OV08,5,SE,207,283
OV08,5,SE,200,340
OV08,5,SW,142,153
OV08,5,SW,171,345
OV08,5,SW,152,423
OV08,5,NW,146,158
OV08,5,NW,216,419
OV08,5,NW,176,497
OV08,5,0,0,168
OV08,5,0,0,423
OV07,1,NE,122,121
OV07,1,NE,245,374
OV07,1,NE,157,562
OV07,1,SE,223,244
OV07,1,SE,196,447
OV07,1,SE,178,589
OV07,1,SW,177,173
OV07,1,SW,231,516
OV07,1,SW,136,590
OV07,1,NW,179,176
OV07,1,NW,248,537
OV07,1,NW,153,653
OV07,1,0,0,168
OV07,1,0,0,562
OV07,2,NE,156,122
OV07,2,NE,288,247
OV07,2,NE,267,418
OV07,2,SE,172,162
OV07,2,SE,259,472
OV07,2,SE,129,522
OV07,2,SW,98,158
OV07,2,SW,267,315
OV07,2,SW,211,374
OV07,2,NW,142,171
OV07,2,NW,278,452
OV07,2,NW,130,539
OV07,2,0,0,171
OV07,2,0,0,505
OV07,3,NE,114,165
OV07,3,NE,228,388
OV07,3,NE,179,527
OV07,3,SE,162,193
OV07,3,SE,293,429
OV07,3,SE,135,537
OV07,3,SW,183,142
OV07,3,SW,283,402
OV07,3,SW,161,522
OV07,3,NW,180,206
OV07,3,NW,333,410
OV07,3,NW,260,510
OV07,3,0,0,191
OV07,3,0,0,519
OV07,4,NE,96,114
OV07,4,NE,298,392
OV07,4,NE,228,488
OV07,4,SE,183,214
OV07,4,SE,273,378
OV07,4,SE,160,524
OV07,4,SW,193,146
OV07,4,SW,298,306
OV07,4,SW,172,492
OV07,4,NW,191,151
OV07,4,NW,270,306
OV07,4,NW,180,512
OV07,4,0,0,190
OV07,4,0,0,511
OV07,5,NE,93,145
OV07,5,NE,265,342
OV07,5,NE,218,470
OV07,5,SE,249,120
OV07,5,SE,344,449
OV07,5,SE,230,578
OV07,5,SW,178,152
OV07,5,SW,273,392
OV07,5,SW,165,510
OV07,5,NW,129,230
OV07,5,NW,293,376
OV07,5,NW,172,560
OV07,5,0,0,152
OV07,5,0,0,508
OV06,1,NE,137,196
OV06,1,NE,308,415
OV06,1,NE,202,628
OV06,1,SE,206,157
OV06,1,SE,294,432
OV06,1,SE,217,607
OV06,1,SW,155,179
OV06,1,SW,245,467
OV06,1,SW,160,539
OV06,1,NW,261,205
OV06,1,NW,205,497
OV06,1,NW,152,568
OV06,1,0,0,186
OV06,1,0,0,578
OV06,2,NE,178,179
OV06,2,NE,322,333
OV06,2,NE,272,389
OV06,2,SE,129,171
OV06,2,SE,198,367
OV06,2,SE,153,455
OV06,2,SW,86,153
OV06,2,SW,219,351
OV06,2,SW,214,374
OV06,2,NW,154,170
OV06,2,NW,212,367
OV06,2,NW,160,515
OV06,2,0,0,135
OV06,2,0,0,495
OV06,3,NE,195,211
OV06,3,NE,275,409
OV06,3,NE,173,593
OV06,3,SE,221,189
OV06,3,SE,245,509
OV06,3,SE,178,625
OV06,3,SW,217,200
OV06,3,SW,198,441
