block,date,tree,position,light_sun,light
ch01,7/11/14,1,1,2190,89
ch01,7/11/14,1,2,2190,490
ch01,7/11/14,1,3,2190,83
ch01,7/11/14,1,4,2190,117
ch01,7/11/14,1,5,2190,139
ch01,7/11/14,1,6,2190,580
ch01,7/11/14,1,7,2190,93
ch01,7/11/14,1,8,2190,187
ch01,7/11/14,1,9,2190,54
ch01,7/11/14,1,10,2190,498
ch01,7/11/14,1,11,2190,129
ch01,7/11/14,1,12,2190,204
ch01,7/11/14,1,13,2190,42
ch01,7/11/14,1,14,1900,436
ch01,7/11/14,1,15,1900,1312
ch01,7/11/14,1,16,1900,199
ch01,7/11/14,1,17,1900,55
ch01,7/11/14,1,18,1900,336
ch01,7/11/14,2,1,1936,91
ch01,7/11/14,2,2,1936,63
ch01,7/11/14,2,3,1936,54
ch01,7/11/14,2,4,1936,105
ch01,7/11/14,2,5,1936,29
ch01,7/11/14,2,6,1936,18
ch01,7/11/14,2,7,1936,36
ch01,7/11/14,2,8,1936,92
ch01,7/11/14,2,9,1920,86
ch01,7/11/14,2,10,1920,327
ch01,7/11/14,2,11,1920,427
ch01,7/11/14,2,12,1920,161
ch01,7/11/14,2,13,1920,187
ch01,7/11/14,2,14,1920,57
ch01,7/11/14,2,15,1920,184
ch01,7/11/14,2,16,1920,223
ch01,7/11/14,2,17,1920,34
ch01,7/11/14,2,18,1920,28
ch01,7/11/14,3,1,1986,328
ch01,7/11/14,3,2,1986,834
ch01,7/11/14,3,3,1986,142
ch01,7/11/14,3,4,1986,58
ch01,7/11/14,3,5,1986,86
ch01,7/11/14,3,6,1986,76
ch01,7/11/14,3,7,1986,213
ch01,7/11/14,3,8,1986,760
ch01,7/11/14,3,9,1951,129
ch01,7/11/14,3,10,1951,50
ch01,7/11/14,3,11,1951,151
ch01,7/11/14,3,12,1951,70
ch01,7/11/14,3,13,1951,256
ch01,7/11/14,3,14,1951,73
ch01,7/11/14,3,15,1951,582
ch01,7/11/14,3,16,1951,685
ch01,7/11/14,3,17,1951,34
ch01,7/11/14,3,18,1951,28
ch01,7/11/14,4,1,1986,30
ch01,7/11/14,4,2,1986,39
ch01,7/11/14,4,3,1986,50
ch01,7/11/14,4,4,1986,81
ch01,7/11/14,4,5,1986,201
ch01,7/11/14,4,6,1986,110
ch01,7/11/14,4,7,1986,64
ch01,7/11/14,4,8,1986,31
ch01,7/11/14,4,9,1951,129
ch01,7/11/14,4,10,1951,50
ch01,7/11/14,4,11,1951,151
ch01,7/11/14,4,12,1951,70
ch01,7/11/14,4,13,1951,256
ch01,7/11/14,4,14,1951,73
ch01,7/11/14,4,15,1951,582
ch01,7/11/14,4,16,1951,685
ch01,7/11/14,4,17,1951,103
ch01,7/11/14,4,18,1951,157
ch01,7/11/14,5,1,2070,1300
ch01,7/11/14,5,2,2070,188
ch01,7/11/14,5,3,2070,110
ch01,7/11/14,5,4,2070,76
ch01,7/11/14,5,5,2070,125
ch01,7/11/14,5,6,2070,806
ch01,7/11/14,5,7,2070,1800
ch01,7/11/14,5,8,2070,1825
ch01,7/11/14,5,9,1917,563
ch01,7/11/14,5,10,1917,637
ch01,7/11/14,5,11,1917,208
ch01,7/11/14,5,12,1917,170
ch01,7/11/14,5,13,1917,142
ch01,7/11/14,5,14,1917,157
