"","relationship","exp_yield","int_yield","expr_yield","intr_yield","exp_wgt","int_wgt","expr_wgt","intr_wgt","exp_fruit","int_fruit","expr_fruit","intr_fruit"
"1","L~D (Segment)",0.289,0.041,0.747,0.725,0.507,0.061,0.731,0.641,0.083,0.013,0,0.015
"2","L~D (Path)",0.338,0.112,0.706,0.567,0.663,0.303,0.629,0.415,0.16,0.037,0.036,0.152
"3","L~D (Subtree)",0.49,0.009,0.784,0.577,0.717,0.022,0.607,0.32,0.063,0.246,0.083,0.301
"4","SA~V (Segment)",0.294,0.208,0.583,0.307,0.533,0.431,0.359,0.073,0.13,0.125,0.18,0.516
"5","SA~V (Path)",0.363,0.207,0.572,0.283,0.64,0.412,0.3,0.065,0.136,0.045,0.336,0.605
"6","SA~V (Subtree)",0.438,0.052,0.829,0.543,0.332,0.229,0.413,0.132,0.099,0.68,0.24,0.531
"7","D~V (Segment)",0.313,0.305,0.526,0.321,0.686,0.698,0.263,0.079,0.534,0.537,0.284,0.513
"8","D~V (Path)",0.285,0.245,0.699,0.369,0.689,0.655,0.386,0.076,0.42,0.423,0.251,0.588
"9","D~V (Subtree)",0.356,0.284,0.643,0.385,0.716,0.671,0.544,0.172,0.355,0.362,0.053,0.382
"10","L~V (Segment)",0.079,0.002,0.546,0.317,0.106,0.003,0.297,0.077,0.015,0.103,0.224,0.511
"11","L~V (Path)",0.296,0.008,0.705,0.393,0.489,0.015,0.451,0.118,0.019,0.094,0.205,0.577
"12","L~V (Subtree)",0.092,0.178,0.83,0.535,0.009,0.44,0.403,0.128,0.525,0.587,0.219,0.471
"13","D~SA (Segment)",0.3,0.267,0.096,0.011,0.64,0.616,0.016,0.107,0.39,0.404,0.959,0.977
"14","D~SA (Path)",0.304,0.247,0.333,0.173,0.68,0.625,0.054,0.001,0.337,0.326,0.667,0.876
"15","D~SA (Subtree)",0.419,0.264,0.456,0.321,0.729,0.553,0.204,0.095,0.221,0.13,0.415,0.55
"16","L~SA (Segment)",0.027,0.151,0.113,0.011,0.076,0.288,0.009,0.109,0.298,0.389,0.946,0.976
"17","L~SA (Path)",0.158,0.009,0.528,0.352,0.249,0.018,0.184,0.059,0.006,0.22,0.53,0.709
"18","L~SA (Subtree)",0.007,0.229,0.717,0.565,0.101,0.503,0.301,0.163,0.64,0.521,0.193,0.318
"19","L~M (Segment)",0.1,0.048,0.517,0.149,0.108,0.084,0.293,0.005,0.036,0.217,0.223,0.678
"20","L~M (Path)",0.311,0.001,0.621,0.285,0.545,0,0.468,0.093,0.047,0.081,0.126,0.502
"21","L~M (Subtree)",0.316,0.21,0.886,0.419,0.237,0.472,0.523,0.085,0.139,0.56,0.194,0.653
"22","M~D (Segment)",0.161,0.207,0.724,0.702,0.506,0.601,0.752,0.656,0.721,0.669,0.007,0.001
"23","M~D (Subtree)",0.219,0.182,0.589,0.46,0.609,0.61,0.636,0.417,0.631,0.607,0.001,0.029
"24","M~V (Segment)",0.157,0.037,0.434,0.317,0.063,0,0.468,0.321,0.277,0.394,0.003,0.017
"25","M~V (Path)",0.014,0.107,0.758,0.73,0.086,0.307,0.718,0.633,0.498,0.609,0,0.007
"26","M~V (Subtree)",0.41,0.287,0.379,0.309,0.521,0.362,0.52,0.393,0.007,0,0.013,0
"27","D/P Ratio ~ P Diam",0.197,0.337,0.219,0.005,0.482,0.656,0.004,0.128,0.58,0.502,0.809,0.983
